iter	Passed	Remaining
242	10105	31480
243	10151	31453
244	10193	31413
245	10234	31368
246	10274	31322
247	10312	31270
248	10353	31228
249	10395	31185
250	10437	31145
251	10478	31104
252	10517	31052
253	10558	31009
254	10597	30961
255	10635	30908
256	10674	30861
257	10712	30810
258	10751	30761
259	10791	30713
260	10831	30667
261	10869	30616
262	10908	30568
263	10946	30518
264	10988	30478
265	11031	30440
266	11069	30390
267	11108	30341
268	11148	30295
269	11188	30249
270	11226	30199
271	11265	30151
272	11307	30113
273	11345	30061
274	11385	30016
275	11425	29971
276	11464	29924
277	11505	29880
278	11544	29834
279	11582	29783
280	11621	29735
281	11659	29685
282	11700	29642
283	11739	29597
284	11779	29551
285	11818	29505
286	11858	29459
287	11896	29411
288	11943	29384
289	11989	29353
290	12036	29326
291	12079	29288
292	12119	29243
293	12159	29198
294	12197	29149
295	12237	29105
296	12278	29062
297	12318	29019
298	12366	28993
299	12407	28951
300	12446	28905
301	12486	28858
302	12524	28810
303	12562	28761
304	12601	28715
305	12643	28675
306	12682	28627
307	12721	28581
308	12760	28535
309	12800	28490
310	12838	28443
311	12880	28402
312	12924	28367
313	12962	28319
314	13000	28269
315	13040	28227
316	13079	28180
317	13118	28134
318	13159	28093
319	13206	28062
320	13246	28019
321	13285	27973
322	13323	27924
323	13361	27876
324	13399	27829
325	13437	27782
326	13476	27736
327	13515	27689
328	13554	27644
329	13593	27599
330	13632	27554
331	13671	27508
332	13710	27461
333	13750	27417
334	13788	27372
335	13838	27347
336	13881	27309
337	13928	27279
338	13970	27240
339	14009	27195
340	14048	27150
341	14087	27103
342	14127	27059
343	14165	27014
344	14208	26974
345	14249	26933
346	14286	26885
347	14324	26837
348	14364	26795
349	14403	26750
350	14441	26703
351	14481	26659
352	14520	26613
353	14562	26574
354	14601	26529
355	14642	26488
356	14681	26443
357	14719	26395
358	14763	26361
359	14806	26323
360	14846	26280
361	14884	26232
362	14923	26188
363	14964	26146
364	15003	26101
365	15042	26057
366	15083	26015
367	15124	25974
368	15162	25928
369	15202	25885
370	15242	25842
371	15281	25798
372	15320	25753
373	15359	25708
374	15398	25663
375	15438	25621
376	15479	25580
377	15518	25536
378	15559	25494
379	15597	25449
380	15636	25403
381	15677	25363
382	15720	25325
383	15765	25290
384	15807	25250
385	15846	25206
386	15886	25164
387	15925	25118
388	15962	25071
389	16002	25029
390	16042	24987
391	16088	24954
392	16127	24909
393	16167	24866
394	16207	24824
395	16245	24778
396	16285	24735
397	16323	24689
398	16362	24646
399	16405	24608
400	16445	24565
